DFS_ID,Name,Position,Team,Opponent,Salary,Targets,Rush_Attempts,AirYards,RedZoneTouches,Team_Total,Opp_Pace,Proj_Snap_Pct,Yards_per_Target,Yards_per_Rush,TD_Rate,InOutStatus,Notes
1001,Josh Allen,QB,BUF,KC,8300,7,6,330,3,28.5,66,0.98,7.5,5.0,0.08,Probable,High total game
1002,Stefon Diggs,WR,BUF,KC,9200,11,1,140,2,28.5,66,0.95,9.3,2.0,0.07,Probable,Primary stack partner
1003,Gabe Davis,WR,BUF,KC,5600,7,0,110,1,28.5,66,0.83,12.0,0.0,0.06,Questionable,Boom/bust profile
1004,Dalton Kincaid,TE,BUF,KC,4700,6,0,45,1,28.5,66,0.78,7.2,0.0,0.05,Probable,Rookie TE usage
1005,James Cook,RB,BUF,KC,6500,4,15,30,2,28.5,66,0.67,7.5,4.3,0.04,Probable,Split backfield
1006,Patrick Mahomes,QB,KC,BUF,8100,6,2,320,2,26.8,64,0.97,7.8,3.5,0.09,Probable,Elite QB
1007,Travis Kelce,TE,KC,BUF,7800,10,0,100,2,26.8,64,0.90,8.8,0.0,0.08,Probable,Must stack
1008,Rashee Rice,WR,KC,BUF,5100,7,1,85,1,26.8,64,0.74,9.2,1.5,0.05,Probable,Value WR
1009,Isiah Pacheco,RB,KC,BUF,6400,3,16,20,2,26.8,64,0.70,6.5,4.5,0.04,Probable,Red zone role
1010,Chiefs DST,DST,KC,BUF,2900,0,0,0,0,26.8,64,1.00,0.0,0.0,0.00,Probable,Punt defense
1011,Bills DST,DST,BUF,KC,3100,0,0,0,0,28.5,66,1.00,0.0,0.0,0.00,Probable,Contrarian
